MUSTERI_ARIZA	ALTYAPI	SANTRAL_MESAFESI	ATTENUATION_DOWN	NOISE_MARGIN_UP	HIZMET_KALITESI
0	2	85	12	16	1
0	1	939	16	11	0,796
0	1	595	15	14	1
0	2	63	2	28	0,746
0	2	312	15	8	1
0	1	461	17	16	0,999
0	2	85	11	15	0,792
0	1	655	22	4	0,75
0	2	59	3	30	1
0	1	924	19	20	1
0	2	703	16	8	1
0	2	358	12	15	1
0	1	682	14	17	0,75
0	2	90	8	27	1
0	1	912	16	17	0,75
0	2	189	8	24	1
0	1	1065	20	11	0,833
0	1	828	24	8	0,571
0	1	991	24	15	1
0	2	264	12	16	0,907
0	2	200	13	17	1
0	1	1117	23	10	0,654
0	2	168	11	16	1
0	2	273	10	20	1
0	2	240	6	26	1
0	2	85	3	22	1
0	1	549	17	8	1
0	1	1336	28	15	1
0	1	308	18	22	1
1	1	1069	20	7	0,999
0	2	165	2	14	1
0	1	882	15	24	0,656
0	1	378	17	17	1
0	1	842	18	13	0,765
0	1	1043	20	6	0,817
0	2	296	10	26	0,999
0	1	80	10	24	1
1	1	1227	32	19	1
0	2	618	27	15	1
0	2	335	17	13	1
0	1	520	18	17	1
0	2	539	12	11	1
0	1	943	18	12	0,801
0	2	472	6	19	0,625
0	2	475	13	21	0,875
0	1	1449	27	19	0,842
0	1	460	12	14	1
0	1	311	12	7	0,725
1	1	126	8	36	1
0	1	412	18	10	0,743
0	1	1353	25	13	0,799
0	1	1174	21	20	0,75
1	2	893	14	23	0,75
1	1	827	17	20	1
0	1	844	23	18	0,75
0	3	47	2	17	0,783
0	2	1079	20	11	0,891
0	1	437	10	15	1
0	2	256	12	15	1
0	2	1000	25	8	0,327
0	2	1071	19	14	0,909
1	2	686	20	8	0,999
0	2	256	12	21	1
0	1	708	21	8	0,718
0	1	929	18	18	0,875
0	1	877	19	12	1
0	2	217	2	9	1
0	1	593	21	5	0,878
0	2	429	13	20	1
0	2	265	2	14	1
0	2	358	7	28	1
0	3	10	3	31	1
0	2	346	12	16	1
0	1	842	11	15	0,5
0	1	772	22	8	0,5
0	2	280	7	19	0,914
0	1	856	19	12	1
0	1	1107	24	19	0,926
0	1	1312	26	12	0,828
1	2	96	16	13	1
0	1	1448	25	18	0,75
0	2	85	9	26	1
0	1	437	17	13	1
0	1	1081	21	12	0,943
0	2	312	19	5	0,715
0	2	121	11	36	1
0	2	118	4	23	1
0	2	209	6	29	1
0	2	123	2	17	0,999
0	2	191	12	17	1
0	2	245	6	8	0,584
0	1	933	20	12	0,881
0	1	1121	22	19	0,75
0	1	1029	21	20	0,833
0	2	808	17	12	1
0	1	1159	24	13	0,757
1	2	628	14	17	0,999
0	2	309	17	8	1
0	1	777	21	19	0,916
0	1	929	23	10	0,879
0	1	929	21	8	0,675
1	1	960	19	21	0,872
0	2	96	9	27	1
0	1	860	17	20	0,625
0	2	636	16	9	1
0	2	270	8	19	1
0	1	1043	20	15	0,5
0	1	397	9	13	1
0	1	1326	21	18	0,833
0	2	217	11	9	0,999
0	2	294	9	12	1
0	2	338	11	15	1
0	2	127	6	30	1
0	2	402	12	8	1
0	1	148	5	12	1
0	2	234	9	23	1
0	2	233	9	28	1
0	2	119	7	18	1
0	2	146	9	20	0,875
0	2	39	30	7	0,509
0	2	312	10	30	0,743
0	2	220	3	39	1
0	1	520	18	8	1
0	1	899	18	14	0,831
0	1	416	10	20	1
0	2	703	17	4	0,872
1	2	662	25	13	0,999
0	1	822	23	21	0,875
0	2	668	16	8	0,765
0	1	1047	20	20	0,75
0	2	184	14	14	1
0	3	5	5	28	0,999
0	1	1041	22	13	1
0	1	620	19	10	1
0	3	5	2	31	1
0	1	1056	22	10	0,989
0	2	288	5	29	1
0	1	777	19	14	1
0	1	1004	20	15	0,731
0	1	272	8	15	1
0	2	114	4	24	1
0	2	117	10	25	1
0	3	2	12	14	1
0	2	140	8	27	1
0	2	20	3	14	1
0	1	499	12	12	1
